Date,Value
1899-09-30,0.0353793691
1899-06-30,-0.0531413965
1899-03-31,0.2281890284
1898-12-31,0.1324850299
1898-09-30,0.0155834284
1898-06-30,0.1585204756
1898-03-31,-0.080752884
1897-12-31,-0.0307963907
1897-09-30,0.1560090703
1897-06-30,0.1173042817
1897-03-31,-0.0242274413
1896-12-31,0.1220527046
